window_id,start_time,end_time,s1_prob_normal,s1_prob_yellow,s1_prob_red,s2_prob_normal,s2_prob_yellow,s2_prob_red
0,0.0,10.0,0.99997807,2.194675e-05,4.194443e-19,5.4193506e-06,7.831013e-07,0.9999938
1,5.0,15.0,0.99999857,1.4382011e-06,2.2256056e-21,9.719616e-07,0.00022333479,0.9997757
2,10.0,20.0,0.9999994,5.8684975e-07,2.848805e-18,1.572554e-06,0.3876204,0.61237806
3,15.0,25.0,0.9999974,2.6663108e-06,3.3503875e-17,7.784444e-06,0.14773239,0.8522599
4,20.0,30.0,0.999997,3.035352e-06,1.4319358e-18,3.2826667e-06,2.957033e-05,0.9999671
5,25.0,35.0,0.99999785,2.1721105e-06,7.394161e-18,5.1615693e-06,0.018008748,0.98198605
6,30.0,40.0,0.9999919,8.065858e-06,1.0849422e-16,1.5499487e-05,0.001599215,0.9983853
7,35.0,45.0,0.9999976,2.400469e-06,3.3196158e-16,1.0499479e-07,0.9952846,0.0047152434
8,40.0,50.0,0.9999943,5.6717045e-06,4.755042e-16,1.3286464e-07,0.9953615,0.004638428
9,45.0,55.0,0.9999999,9.900667e-08,2.7657104e-19,3.727452e-08,0.97890514,0.021094842
10,50.0,60.0,0.9999995,4.6682828e-07,7.272293e-18,1.3764219e-07,0.9673167,0.032683253
11,55.0,65.0,0.9999901,9.909961e-06,1.9427586e-13,6.7300084e-07,0.997846,0.002153257
12,60.0,70.0,0.99999976,2.3992368e-07,1.9356783e-14,1.4408578e-05,0.9887599,0.011225786
13,65.0,75.0,0.9999969,3.067537e-06,9.9292014e-14,1.0799402e-05,0.98366123,0.016327938
14,70.0,80.0,0.9999542,4.5829896e-05,2.636351e-13,1.0213832e-05,0.98064065,0.019349163
15,75.0,85.0,0.9999577,4.236401e-05,8.488376e-16,3.5884485e-05,0.14798178,0.85198236
16,80.0,90.0,0.9999938,6.205671e-06,7.134376e-16,1.938908e-06,0.9132877,0.08671031
17,85.0,95.0,0.9999976,2.3731316e-06,1.0754053e-16,1.7325713e-06,0.8171167,0.18288153
18,90.0,100.0,0.999915,8.496265e-05,2.1141661e-14,1.2329276e-05,0.87820464,0.12178304
19,95.0,105.0,0.9998031,0.00019693683,2.7186609e-10,3.7030993e-06,0.999744,0.00025229907
20,100.0,110.0,0.9999995,4.956771e-07,2.2251753e-13,2.2822616e-07,0.9998673,0.00013239332
21,105.0,115.0,0.99999166,8.314152e-06,5.149959e-13,2.6323617e-08,0.99987936,0.00012061237
22,110.0,120.0,0.9999981,1.8547872e-06,1.7286848e-16,1.3974675e-07,0.9877823,0.012217524
23,115.0,125.0,0.99999523,4.7912913e-06,7.512402e-14,2.1074958e-07,0.9972796,0.00272025
24,120.0,130.0,0.999995,4.96539e-06,1.2667635e-13,1.5490251e-07,0.9982169,0.00178293
25,125.0,135.0,0.99996305,3.6911122e-05,1.6262171e-12,1.031564e-06,0.99672747,0.0032714987
26,130.0,140.0,0.9999727,2.7318416e-05,9.058209e-12,3.117955e-07,0.9997117,0.00028788464
27,135.0,145.0,0.9999931,6.968308e-06,2.319267e-13,2.0562016e-08,0.9999459,5.4095875e-05
28,140.0,150.0,0.99998724,1.2758982e-05,2.0096163e-14,2.4821966e-07,0.9982318,0.0017679996
29,145.0,155.0,0.9999924,7.625361e-06,6.9668126e-16,8.780669e-08,0.9978915,0.002108402
30,150.0,160.0,0.9999733,2.6650556e-05,5.24514e-13,4.7861215e-07,0.9991179,0.00088165404
31,155.0,165.0,0.999985,1.5015953e-05,6.1665457e-13,2.5022652e-07,0.9994641,0.00053562695
32,160.0,170.0,0.9999502,4.9795526e-05,6.05406e-12,1.1273319e-06,0.9989753,0.0010236277
33,165.0,175.0,0.99999213,7.855313e-06,1.1506195e-15,8.3740593e-07,0.9975019,0.002497227
34,170.0,180.0,0.99979526,0.00020476055,1.7178724e-13,2.657004e-06,0.99731785,0.00267957
35,175.0,185.0,0.99999094,9.093317e-06,5.8447286e-14,5.866722e-09,0.9999831,1.6920205e-05
