window_id,start_time,end_time,s1_prob_normal,s1_prob_yellow,s1_prob_red,s2_prob_normal,s2_prob_yellow,s2_prob_red
0,0.0,10.0,1.0,2.3610734e-21,5.671576e-28,0.9999957,1.45006e-14,4.3306413e-06
1,5.0,15.0,1.0,3.759928e-19,4.28563e-25,1.0,4.6456172e-20,1.5164789e-08
2,10.0,20.0,1.0,2.4239972e-15,1.1120137e-19,1.0,1.9013161e-25,4.0141206e-11
3,15.0,25.0,1.0,4.7000544e-13,3.221578e-17,1.0,5.0374046e-28,1.0286591e-10
4,20.0,30.0,1.0,3.59297e-17,2.1115403e-22,1.0,1.8488339e-23,3.4932575e-09
5,25.0,35.0,1.0,4.496408e-11,2.9255515e-14,1.0,9.665326e-27,1.37961e-10
6,30.0,40.0,0.9704542,7.782424e-05,0.029468004,1.0,3.8827115e-36,1.0199678e-16
7,35.0,45.0,1.0,4.808312e-09,1.940966e-10,1.0,1.1685287e-32,4.060107e-14
8,40.0,50.0,1.0,3.0542102e-09,5.4614247e-12,1.0,5.714172e-32,8.9181836e-13
9,45.0,55.0,0.9981475,1.374766e-06,0.0018510452,1.0,8.6552516e-35,9.2530665e-18
10,50.0,60.0,1.0,1.9438594e-10,2.6000218e-09,1.0,6.491263e-29,7.825476e-15
11,55.0,65.0,1.0,2.2718576e-09,2.6589586e-10,1.0,3.2066354e-30,4.874418e-13
12,60.0,70.0,1.0,5.1645157e-15,8.8245133e-20,1.0,2.0376467e-23,9.991247e-09
13,65.0,75.0,1.0,4.4953457e-18,9.21485e-25,1.0,2.0312265e-25,9.778003e-09
14,70.0,80.0,1.0,7.063452e-21,1.2704194e-27,1.0,1.4283357e-23,2.4444473e-09
15,75.0,85.0,1.0,5.5699447e-21,2.7895397e-27,0.9999999,2.9094314e-17,1.2549931e-07
16,80.0,90.0,1.0,3.7212087e-23,5.373751e-30,0.9999988,1.9919381e-16,1.1380637e-06
17,85.0,95.0,1.0,3.3197757e-16,6.345814e-19,1.0,1.1707662e-21,2.611002e-11
18,90.0,100.0,1.0,5.7432353e-10,1.4930905e-08,1.0,5.4889256e-29,1.1749351e-15
19,95.0,105.0,1.0,1.5781898e-10,2.9793178e-14,1.0,1.6244858e-30,8.345323e-13
20,100.0,110.0,0.7638445,0.22868207,0.0074734287,1.0,4.344864e-37,1.553485e-14
21,105.0,115.0,0.9999858,2.2909378e-06,1.197787e-05,1.0,2.103121e-32,2.402141e-14
22,110.0,120.0,1.0,7.631627e-11,1.0028486e-10,1.0,4.300309e-30,2.7378792e-14
23,115.0,125.0,1.0,2.583416e-10,8.356896e-11,1.0,6.2128736e-27,4.458741e-13
24,120.0,130.0,0.99999905,3.015661e-09,9.662429e-07,1.0,3.954944e-36,9.597619e-18
25,125.0,135.0,1.0,6.594467e-14,1.8417389e-15,1.0,3.4845877e-27,5.8529283e-13
26,130.0,140.0,1.0,1.5774678e-17,2.8076035e-19,1.0,2.9135004e-22,8.3286747e-13
27,135.0,145.0,1.0,7.91319e-15,8.592337e-16,1.0,6.909974e-27,4.7728745e-14
28,140.0,150.0,1.0,6.8937153e-16,7.729014e-18,1.0,2.6323152e-25,7.581768e-13
29,145.0,155.0,1.0,4.3564217e-19,1.4578008e-25,0.9999999,2.2201996e-20,1.0143036e-07
30,150.0,160.0,1.0,2.6621217e-20,9.909749e-28,0.99999976,5.2606772e-21,2.602011e-07
31,155.0,165.0,1.0,5.7269947e-20,4.9040563e-27,0.9999999,2.5430145e-21,9.934641e-08
32,160.0,170.0,1.0,3.3083725e-16,4.610726e-22,1.0,1.8610693e-22,2.4255229e-08
33,165.0,175.0,1.0,9.2293604e-14,2.849808e-17,1.0,6.138691e-26,1.0266363e-10
34,170.0,180.0,1.0,4.213524e-11,9.2479215e-09,1.0,1.4513583e-33,9.564506e-18
35,175.0,185.0,1.0,3.503316e-11,1.1318769e-10,1.0,4.8909525e-30,2.1974472e-15
36,180.0,190.0,1.0,5.505562e-19,4.6309224e-24,1.0,1.7274377e-21,2.095222e-09
37,185.0,195.0,1.0,2.2090294e-22,2.8334535e-30,1.0,3.4492474e-21,3.392506e-08
38,190.0,200.0,1.0,2.7405269e-11,9.3728016e-15,1.0,1.054762e-28,4.961116e-12
