window_id,start_time,end_time,prob_fluctuating,prob_misalignment,anomaly_vector_norm,pred_label
0,0.0,5.0,4.6342606e-07,6.7262004e-06,6.742146e-06,normal
1,5.0,10.0,0.0010709107,6.0150824e-06,0.0010709276,normal
2,10.0,15.0,5.257261e-06,4.333091e-06,6.8128165e-06,normal
3,15.0,20.0,7.730992e-06,0.00010669479,0.00010697451,normal
4,20.0,25.0,5.4338147e-06,9.96649e-05,9.981292e-05,normal
5,25.0,30.0,2.9481524e-07,5.247908e-06,5.2561827e-06,normal
6,30.0,35.0,3.303749e-07,2.1687881e-06,2.1938072e-06,normal
7,35.0,40.0,4.6423384e-06,3.579324e-05,3.609304e-05,normal
8,40.0,45.0,1.4140365e-05,3.8568713e-05,4.107914e-05,normal
9,45.0,50.0,2.5369662e-08,4.235415e-07,4.2430062e-07,normal
10,50.0,55.0,1.2565971e-06,3.1765132e-06,3.4160319e-06,normal
11,55.0,60.0,4.7557445e-05,6.53874e-05,8.08531e-05,normal
12,60.0,65.0,3.535604e-06,1.4789233e-05,1.5205983e-05,normal
13,65.0,70.0,1.1603347e-05,2.5806572e-05,2.8295173e-05,normal
14,70.0,75.0,3.0937e-07,4.056713e-06,4.068492e-06,normal
15,75.0,80.0,1.101232e-05,4.5137433e-05,4.6461373e-05,normal
16,80.0,85.0,0.0008105237,0.00014387151,0.0008231936,normal
17,85.0,90.0,0.00037713713,0.00023898404,0.00044648154,normal
18,90.0,95.0,6.6449984e-06,3.001266e-05,3.073948e-05,normal
19,95.0,100.0,5.9546574e-07,2.8239918e-05,2.8246195e-05,normal
20,100.0,105.0,6.4892895e-08,2.0891155e-06,2.090123e-06,normal
21,105.0,110.0,3.0723594e-08,1.664028e-06,1.6643116e-06,normal
22,110.0,115.0,1.2327021e-07,1.9177733e-06,1.9217312e-06,normal
23,115.0,120.0,1.3448137e-06,1.23805e-05,1.2453325e-05,normal
24,120.0,125.0,1.1932327e-05,3.2206368e-05,3.434575e-05,normal
25,125.0,130.0,1.1793644e-06,1.6009357e-05,1.6052738e-05,normal
26,130.0,135.0,3.4944599e-06,4.2847423e-05,4.2989683e-05,normal
27,135.0,140.0,1.5745534e-05,3.9692568e-05,4.2701544e-05,normal
28,140.0,145.0,1.18318745e-07,4.124064e-06,4.1257613e-06,normal
29,145.0,150.0,4.6019912e-07,8.227742e-06,8.240602e-06,normal
30,150.0,155.0,5.076699e-07,1.1713807e-05,1.1724803e-05,normal
31,155.0,160.0,9.645589e-07,7.17998e-06,7.2444795e-06,normal
32,160.0,165.0,0.0001906495,0.00022707759,0.00029649868,normal
33,165.0,170.0,3.479873e-05,8.258771e-06,3.576533e-05,normal
34,170.0,175.0,1.801939e-06,3.4481964e-05,3.4529014e-05,normal
35,175.0,180.0,5.9347747e-07,2.9059042e-06,2.9658886e-06,normal
36,180.0,185.0,6.943591e-07,3.9206984e-06,3.9817096e-06,normal
37,185.0,190.0,0.00019535258,0.00022038288,0.0002945017,normal
38,190.0,195.0,5.6921317e-07,1.8942885e-06,1.9779618e-06,normal
39,195.0,200.0,1.4438948e-06,1.1471885e-05,1.1562395e-05,normal
40,200.0,205.0,5.332737e-06,5.3436008e-05,5.3701446e-05,normal
41,205.0,210.0,1.4557466e-05,5.8033962e-05,5.9831935e-05,normal
42,210.0,215.0,8.98821e-06,2.8508315e-05,2.9891671e-05,normal
43,215.0,220.0,9.480735e-06,0.000107351916,0.000107769745,normal
44,220.0,225.0,5.3600093e-06,7.089905e-06,8.887994e-06,normal
45,225.0,230.0,9.2713054e-07,2.2794475e-05,2.2813323e-05,normal
46,230.0,235.0,7.0872767e-07,3.4369063e-05,3.4376368e-05,normal
47,235.0,240.0,2.4359115e-06,3.290087e-05,3.2990924e-05,normal
48,240.0,245.0,1.3123816e-05,6.921332e-05,7.0446564e-05,normal
49,245.0,250.0,6.4936066e-06,4.9138842e-05,4.9566046e-05,normal
50,250.0,255.0,4.9764793e-08,1.9308434e-06,1.9314846e-06,normal
51,255.0,260.0,2.1422979e-07,9.91813e-06,9.9204435e-06,normal
52,260.0,265.0,6.9564226e-07,1.9428351e-05,1.9440802e-05,normal
53,265.0,270.0,0.000139024,0.00018862024,0.00023431872,normal
54,270.0,275.0,3.0576175e-05,2.7180948e-05,4.0910956e-05,normal
55,275.0,280.0,0.0109748505,1.730457e-06,0.0109748505,normal
56,280.0,285.0,1.0244855e-05,3.2894877e-05,3.4453304e-05,normal
57,285.0,290.0,0.00020265626,0.00034827736,0.00040294748,normal
58,290.0,295.0,1.5093966e-07,8.123617e-06,8.125019e-06,normal
59,295.0,300.0,8.128338e-07,1.5186522e-05,1.5208259e-05,normal
60,300.0,305.0,4.4853138e-08,5.566768e-07,5.5848085e-07,normal
61,305.0,310.0,6.126391e-05,5.2440962e-05,8.064317e-05,normal
62,310.0,315.0,4.702555e-06,2.1863128e-05,2.2363149e-05,normal
63,315.0,320.0,1.6033864e-05,5.1694587e-05,5.4124073e-05,normal
64,320.0,325.0,3.8761857e-07,2.7612489e-06,2.7883227e-06,normal
65,325.0,330.0,2.1714186e-06,1.617485e-05,1.6319953e-05,normal
66,330.0,335.0,5.8178368e-05,0.0001563029,0.00016677925,normal
67,335.0,340.0,1.0467601e-06,2.5324704e-05,2.5346326e-05,normal
68,340.0,345.0,3.830961e-06,1.394929e-05,1.4465786e-05,normal
69,345.0,350.0,1.3764393e-05,4.5022523e-05,4.707957e-05,normal
70,350.0,355.0,1.3245833e-05,5.8776328e-05,6.0250386e-05,normal
71,355.0,360.0,8.421836e-06,4.5757533e-05,4.652611e-05,normal
72,360.0,365.0,4.8772104e-06,5.474255e-06,7.331756e-06,normal
73,365.0,370.0,7.7117356e-08,1.8505118e-05,1.8505278e-05,normal
74,370.0,375.0,3.546854e-05,1.3674141e-05,3.801315e-05,normal
75,375.0,380.0,9.720593e-05,0.00014377442,0.00017355137,normal
76,380.0,385.0,6.530396e-06,2.6556207e-05,2.7347362e-05,normal
77,385.0,390.0,8.635052e-07,1.4911538e-05,1.4936519e-05,normal
78,390.0,395.0,5.5440847e-05,0.00038528416,0.0003892526,normal
79,395.0,400.0,5.4623382e-05,2.4230427e-05,5.9756403e-05,normal
80,400.0,405.0,3.114346e-06,3.7923233e-05,3.8050897e-05,normal
81,405.0,410.0,2.870617e-08,5.3379367e-06,5.338014e-06,normal
82,410.0,415.0,1.5094917e-06,5.484129e-05,5.486206e-05,normal
83,415.0,420.0,2.3990333e-07,0.00019786227,0.00019786242,normal
84,420.0,425.0,0.0010795436,0.00047674394,0.0011801268,normal
85,425.0,430.0,5.9930603e-06,0.000116401956,0.00011655613,normal
86,430.0,435.0,0.0028354202,0.00034709123,0.0028565854,normal
87,435.0,440.0,8.462273e-05,0.00022106833,0.00023671125,normal
88,440.0,445.0,5.790693e-07,1.3732321e-05,1.3744525e-05,normal
89,445.0,450.0,5.6231465e-06,4.079817e-05,4.1183863e-05,normal
90,450.0,455.0,8.037465e-08,3.3031986e-06,3.3041763e-06,normal
91,455.0,460.0,8.689458e-05,1.609665e-05,8.83729e-05,normal
92,460.0,465.0,5.5386563e-06,2.5230095e-06,6.086238e-06,normal
93,465.0,470.0,2.0077962e-07,4.1820113e-06,4.1868284e-06,normal
94,470.0,475.0,6.7416835e-08,2.5768768e-06,2.5777586e-06,normal
95,475.0,480.0,2.0362672e-06,4.0971478e-05,4.1022045e-05,normal
96,480.0,485.0,3.371934e-07,3.4620255e-06,3.4784075e-06,normal
97,485.0,490.0,3.7175522e-07,3.4221162e-06,3.4422494e-06,normal
98,490.0,495.0,2.985866e-06,3.361753e-05,3.3749868e-05,normal
99,495.0,500.0,6.959488e-06,8.187986e-06,1.074605e-05,normal
100,500.0,505.0,1.708787e-07,5.665865e-07,5.917937e-07,normal
101,505.0,510.0,4.562812e-05,0.00032872308,0.00033187465,normal
102,510.0,515.0,5.3413594e-05,3.6483372e-05,6.468422e-05,normal
103,515.0,520.0,4.8484195e-05,1.8380138e-05,5.18512e-05,normal
104,520.0,525.0,2.1010935e-06,1.1920656e-05,1.2104406e-05,normal
105,525.0,530.0,1.6908179e-07,1.2914361e-06,1.3024576e-06,normal
106,530.0,535.0,8.2727655e-07,7.4619384e-06,7.507657e-06,normal
107,535.0,540.0,4.374121e-05,4.9837094e-05,6.63101e-05,normal
108,540.0,545.0,0.00020825626,0.00013358856,0.00024741984,normal
109,545.0,550.0,4.936928e-06,2.634548e-05,2.680406e-05,normal
110,550.0,555.0,8.569905e-07,1.0885706e-05,1.0919387e-05,normal
111,555.0,560.0,3.0183699e-05,0.0002343127,0.0002362488,normal
112,560.0,565.0,0.000107649714,0.00019452025,0.00022232092,normal
113,565.0,570.0,1.5829975e-06,4.418267e-06,4.6932896e-06,normal
114,570.0,575.0,2.5872116e-06,1.3591443e-05,1.3835497e-05,normal
115,575.0,580.0,1.0652863e-06,7.0313104e-06,7.111551e-06,normal
116,580.0,585.0,6.004737e-06,4.1555824e-05,4.198742e-05,normal
117,585.0,590.0,5.892365e-07,9.765482e-06,9.783243e-06,normal
118,590.0,595.0,1.0196209e-06,1.18505395e-05,1.1894323e-05,normal
119,595.0,600.0,7.778626e-06,5.5643337e-05,5.618441e-05,normal
120,600.0,605.0,2.198913e-05,3.835272e-05,4.4209195e-05,normal
121,605.0,610.0,7.272905e-06,9.380724e-06,1.1869841e-05,normal
122,610.0,615.0,0.00027930917,5.9443784e-05,0.00028556466,normal
123,615.0,620.0,5.714225e-07,4.671307e-06,4.706127e-06,normal
124,620.0,625.0,0.0002627098,0.00020873676,0.00033554056,normal
125,625.0,630.0,1.7547549e-05,4.249146e-05,4.5972174e-05,normal
126,630.0,635.0,1.5583211e-08,9.49277e-07,9.494049e-07,normal
127,635.0,640.0,3.7924253e-06,1.45368085e-05,1.5023358e-05,normal
128,640.0,645.0,8.149798e-06,1.7195736e-05,1.9029256e-05,normal
129,645.0,650.0,9.112425e-06,8.672066e-05,8.719811e-05,normal
130,650.0,655.0,1.4883811e-07,2.2140641e-06,2.2190613e-06,normal
131,655.0,660.0,1.7868593e-06,4.0757728e-05,4.079688e-05,normal
132,660.0,665.0,2.8216286e-06,1.5860765e-05,1.6109794e-05,normal
133,665.0,670.0,7.954832e-07,6.362917e-06,6.4124492e-06,normal
134,670.0,675.0,8.977174e-05,0.001398521,0.0014013994,normal
135,675.0,680.0,0.0009352762,4.531237e-06,0.0009352872,normal
136,680.0,685.0,3.034324e-05,6.8138645e-05,7.458946e-05,normal
137,685.0,690.0,5.1106195e-08,1.0783319e-06,1.0795424e-06,normal
138,690.0,695.0,0.00021295839,0.0008501229,0.00087639043,normal
139,695.0,700.0,3.4865839e-06,8.041949e-06,8.765227e-06,normal
140,700.0,705.0,5.166694e-05,0.00029828018,0.0003027219,normal
141,705.0,710.0,2.6632204e-06,2.8006296e-05,2.8132637e-05,normal
142,710.0,715.0,2.4659695e-07,9.731846e-06,9.73497e-06,normal
143,715.0,720.0,7.66667e-05,4.816709e-05,9.054199e-05,normal
144,720.0,725.0,1.9064947e-06,2.6226284e-05,2.6295487e-05,normal
145,725.0,730.0,2.683476e-07,1.6438731e-06,1.6656318e-06,normal
146,730.0,735.0,2.6671238e-08,1.5924459e-06,1.5926693e-06,normal
147,735.0,740.0,5.9216864e-06,9.981533e-06,1.160592e-05,normal
148,740.0,745.0,5.4227337e-07,7.681628e-06,7.700744e-06,normal
149,745.0,750.0,4.186181e-05,5.9350998e-05,7.262886e-05,normal
150,750.0,755.0,7.997186e-08,5.32645e-06,5.32705e-06,normal
151,755.0,760.0,2.0398163e-06,2.4271592e-05,2.4357156e-05,normal
152,760.0,765.0,6.22321e-07,1.0024585e-05,1.0043883e-05,normal
153,765.0,770.0,4.3071027e-06,1.9711162e-05,2.0176249e-05,normal
154,770.0,775.0,4.2607102e-05,8.473953e-06,4.3441603e-05,normal
155,775.0,780.0,2.3376324e-06,1.1754529e-05,1.1984718e-05,normal
156,780.0,785.0,9.923885e-08,1.9019475e-06,1.9045348e-06,normal
157,785.0,790.0,4.5000845e-05,0.00010644115,0.00011556294,normal
158,790.0,795.0,2.3827462e-07,1.6728442e-05,1.6730139e-05,normal
159,795.0,800.0,1.6295025e-05,5.6219164e-05,5.8533085e-05,normal
160,800.0,805.0,4.4918247e-07,4.387368e-06,4.4103017e-06,normal
161,805.0,810.0,1.1404886e-05,2.9597371e-05,3.1718697e-05,normal
162,810.0,815.0,2.9669633e-05,0.00012243315,0.00012597683,normal
163,815.0,820.0,8.332455e-05,0.00033934208,0.00034942242,normal
164,820.0,825.0,2.0780395e-05,3.659425e-05,4.2082822e-05,normal
165,825.0,830.0,9.7231234e-05,4.3503966e-05,0.00010651999,normal
166,830.0,835.0,1.0169329e-06,8.6111495e-06,8.670989e-06,normal
167,835.0,840.0,8.31249e-07,7.547696e-05,7.5481534e-05,normal
168,840.0,845.0,9.604028e-07,1.9887231e-05,1.9910407e-05,normal
169,845.0,850.0,1.1168119e-06,6.3444418e-06,6.4419883e-06,normal
170,850.0,855.0,7.2534436e-07,5.6640993e-06,5.7103543e-06,normal
171,855.0,860.0,1.1701475e-06,3.4508874e-05,3.4528708e-05,normal
172,860.0,865.0,1.7409185e-06,3.1425523e-06,3.5925523e-06,normal
173,865.0,870.0,4.0578584e-06,2.9670367e-05,2.9946568e-05,normal
174,870.0,875.0,3.950853e-06,3.3819913e-05,3.4049903e-05,normal
175,875.0,880.0,1.1846109e-05,8.662338e-05,8.742963e-05,normal
176,880.0,885.0,3.1144245e-07,1.0008012e-05,1.0012857e-05,normal
177,885.0,890.0,5.49927e-07,5.0897183e-06,5.119341e-06,normal
178,890.0,895.0,4.9057358e-06,7.10318e-05,7.1201e-05,normal
179,895.0,900.0,1.6125346e-06,6.8334643e-06,7.0211468e-06,normal
180,900.0,905.0,3.4411205e-05,0.00014066469,0.00014481258,normal
181,905.0,910.0,0.0005156853,0.00020870929,0.0005563191,normal
182,910.0,915.0,1.5868663e-05,8.898176e-05,9.038566e-05,normal
183,915.0,920.0,6.086572e-06,1.5153436e-05,1.6330125e-05,normal
184,920.0,925.0,4.6660402e-06,0.00012695996,0.00012704567,normal
185,925.0,930.0,0.00042375043,5.2566633e-05,0.00042699845,normal
186,930.0,935.0,1.026006e-06,1.6424441e-05,1.6456457e-05,normal
187,935.0,940.0,1.662884e-05,6.859985e-05,7.058653e-05,normal
188,940.0,945.0,2.21827e-06,5.2915228e-05,5.2961703e-05,normal
189,945.0,950.0,8.752336e-05,0.00021473781,0.00023188934,normal
190,950.0,955.0,0.00044360964,0.00044647642,0.00062938913,normal
191,955.0,960.0,3.5063808e-06,8.067677e-05,8.0752936e-05,normal
192,960.0,965.0,9.370975e-08,2.0534555e-06,2.0555926e-06,normal
193,965.0,970.0,2.1267526e-06,1.600783e-05,1.614849e-05,normal
194,970.0,975.0,5.6863705e-06,1.1019895e-05,1.2400521e-05,normal
195,975.0,980.0,1.0117787e-06,1.5160315e-05,1.519404e-05,normal
196,980.0,985.0,9.788519e-07,1.8809149e-05,1.8834602e-05,normal
197,985.0,990.0,6.085278e-06,0.000323616,0.00032367322,normal
198,990.0,995.0,7.752446e-07,9.398096e-06,9.430017e-06,normal
199,995.0,1000.0,0.00026403763,7.904754e-05,0.0002756164,normal
200,1000.0,1005.0,2.7539236e-05,5.7352143e-05,6.362136e-05,normal
201,1005.0,1010.0,8.376348e-06,2.8046388e-05,2.9270515e-05,normal
202,1010.0,1015.0,5.3435724e-07,3.737656e-05,3.738038e-05,normal
203,1015.0,1020.0,2.5608716e-07,1.2638249e-06,1.2895092e-06,normal
204,1020.0,1025.0,8.958269e-08,2.2488748e-06,2.2506583e-06,normal
205,1025.0,1030.0,1.8942977e-06,5.755397e-06,6.059122e-06,normal
206,1030.0,1035.0,3.0175957e-05,8.395576e-05,8.921411e-05,normal
207,1035.0,1040.0,3.7214504e-06,2.7010818e-05,2.7265976e-05,normal
208,1040.0,1045.0,9.582833e-08,7.183091e-07,7.2467304e-07,normal
209,1045.0,1050.0,9.435326e-08,6.2923327e-06,6.29304e-06,normal
210,1050.0,1055.0,5.894512e-07,9.403708e-06,9.422164e-06,normal
211,1055.0,1060.0,4.3775085e-06,1.5889318e-05,1.6481294e-05,normal
212,1060.0,1065.0,7.5922344e-08,6.427409e-07,6.4720945e-07,normal
213,1065.0,1070.0,5.283822e-07,9.3222125e-06,9.337175e-06,normal
214,1070.0,1075.0,0.0008844104,0.0038117426,0.0039129993,normal
215,1075.0,1080.0,2.7091151e-05,3.996246e-05,4.827969e-05,normal
216,1080.0,1085.0,5.2029936e-06,3.977809e-05,4.0116924e-05,normal
217,1085.0,1090.0,3.154048e-05,5.82662e-05,6.6255205e-05,normal
218,1090.0,1095.0,7.9739954e-07,1.6273316e-05,1.629284e-05,normal
219,1095.0,1100.0,5.1112374e-06,5.4798427e-05,5.5036282e-05,normal
220,1100.0,1105.0,9.847387e-06,4.1100815e-05,4.2264026e-05,normal
221,1105.0,1110.0,8.972023e-06,8.0563295e-05,8.106135e-05,normal
222,1110.0,1115.0,1.4184733e-05,8.117824e-06,1.6343369e-05,normal
223,1115.0,1120.0,1.4023102e-05,4.394277e-05,4.612607e-05,normal
224,1120.0,1125.0,5.7546225e-07,2.3923717e-06,2.4606095e-06,normal
225,1125.0,1130.0,6.017579e-08,2.1396302e-06,2.1404762e-06,normal
226,1130.0,1135.0,2.8743293e-06,1.2850163e-05,1.3167705e-05,normal
227,1135.0,1140.0,0.007797831,0.0012845674,0.007902929,normal
228,1140.0,1145.0,0.00016885679,3.422156e-05,0.00017228967,normal
229,1145.0,1150.0,1.5031671e-05,2.5611782e-05,2.9697047e-05,normal
230,1150.0,1155.0,2.9128273e-07,2.9535574e-06,2.967886e-06,normal
231,1155.0,1160.0,2.851657e-07,1.6049034e-06,1.6300413e-06,normal
232,1160.0,1165.0,1.4163483e-06,2.5076547e-06,2.8799957e-06,normal
233,1165.0,1170.0,3.3170666e-06,7.589876e-06,8.283064e-06,normal
234,1170.0,1175.0,1.9432984e-07,1.5054878e-06,1.5179781e-06,normal
235,1175.0,1180.0,3.9516792e-07,1.2496142e-05,1.2502388e-05,normal
236,1180.0,1185.0,4.8988777e-06,1.2598185e-05,1.3517147e-05,normal
