window_id,start_time,end_time,prob_fluctuating,prob_misalignment,anomaly_vector_norm,pred_label
0,0.0,5.0,0.9999951,3.361263e-06,0.9999951,fluctuating
1,5.0,10.0,0.99848986,0.00018898188,0.99848986,fluctuating
2,10.0,15.0,0.9999969,3.02625e-06,0.9999969,fluctuating
3,15.0,20.0,0.9999993,5.454726e-07,0.9999993,fluctuating
4,20.0,25.0,0.9999999,6.690201e-08,0.9999999,fluctuating
5,25.0,30.0,1.0,4.503124e-09,1.0,fluctuating
6,30.0,35.0,0.9999999,3.6129472e-07,0.9999999,fluctuating
7,35.0,40.0,0.9999994,4.3571066e-07,0.9999994,fluctuating
8,40.0,45.0,0.99997795,2.4796931e-05,0.99997795,fluctuating
9,45.0,50.0,0.99999297,3.5592893e-06,0.99999297,fluctuating
10,50.0,55.0,0.9999995,2.7334818e-07,0.9999995,fluctuating
11,55.0,60.0,0.9999877,1.3498953e-05,0.9999877,fluctuating
12,60.0,65.0,0.99999774,1.3907536e-06,0.99999774,fluctuating
13,65.0,70.0,1.0,6.7493966e-10,1.0,fluctuating
14,70.0,75.0,0.99987805,0.00011308654,0.99987805,fluctuating
15,75.0,80.0,1.0,1.5828111e-10,1.0,fluctuating
16,80.0,85.0,0.9999999,5.0750383e-08,0.9999999,fluctuating
17,85.0,90.0,0.9999994,2.6429385e-07,0.9999994,fluctuating
18,90.0,95.0,0.9999355,3.1693497e-05,0.9999355,fluctuating
19,95.0,100.0,0.99999964,1.4282135e-07,0.99999964,fluctuating
20,100.0,105.0,0.9999918,5.070436e-06,0.9999918,fluctuating
21,105.0,110.0,0.99999905,9.320695e-07,0.99999905,fluctuating
22,110.0,115.0,0.99999595,2.3071725e-06,0.99999595,fluctuating
23,115.0,120.0,0.9999994,3.621544e-07,0.9999994,fluctuating
24,120.0,125.0,1.0,2.401072e-08,1.0,fluctuating
25,125.0,130.0,0.9999924,6.3514767e-06,0.9999924,fluctuating
26,130.0,135.0,0.9999995,2.5177258e-07,0.9999995,fluctuating
27,135.0,140.0,1.0,8.986446e-10,1.0,fluctuating
28,140.0,145.0,0.9999989,6.840402e-07,0.9999989,fluctuating
29,145.0,150.0,1.0,3.8798387e-10,1.0,fluctuating
30,150.0,155.0,0.99999917,4.9921897e-07,0.99999917,fluctuating
31,155.0,160.0,1.0,8.313482e-10,1.0,fluctuating
32,160.0,165.0,0.9999999,5.9495605e-08,0.9999999,fluctuating
33,165.0,170.0,0.9999895,7.918199e-06,0.9999895,fluctuating
34,170.0,175.0,0.99999833,1.2652553e-06,0.99999833,fluctuating
35,175.0,180.0,0.99999845,1.9469376e-06,0.99999845,fluctuating
