window_id,start_time,end_time,prob_fluctuating,prob_misalignment,anomaly_vector_norm,pred_label
0,0.0,5.0,0.0025790967,0.3106539,0.3106646,normal
1,5.0,10.0,0.00024953118,0.0011970835,0.0012228143,normal
2,10.0,15.0,0.00086945604,0.015138418,0.015163366,normal
3,15.0,20.0,0.00021911024,0.004442146,0.0044475463,normal
4,20.0,25.0,0.001706611,0.020852309,0.020922028,normal
5,25.0,30.0,0.00042111176,0.00040524142,0.0005844277,normal
6,30.0,35.0,0.32621393,0.00833488,0.32632038,normal
7,35.0,40.0,0.083269365,0.004086321,0.083369575,normal
8,40.0,45.0,0.000965605,0.08483825,0.08484375,normal
9,45.0,50.0,3.160823e-05,0.00014888376,0.00015220202,normal
10,50.0,55.0,0.0017884099,0.009306363,0.009476645,normal
11,55.0,60.0,0.046602413,0.15924779,0.16592662,normal
12,60.0,65.0,0.040310044,0.005423614,0.040673275,normal
13,65.0,70.0,0.013963718,0.19846578,0.1989564,normal
14,70.0,75.0,0.004784318,0.022242086,0.022750827,normal
15,75.0,80.0,0.09632687,0.0018625674,0.09634488,normal
16,80.0,85.0,0.0010751673,9.128658e-05,0.0010790357,normal
17,85.0,90.0,0.2181703,0.01388224,0.21861152,normal
18,90.0,95.0,0.13614711,0.0010577968,0.13615122,normal
19,95.0,100.0,0.020292534,0.17003705,0.17124364,normal
20,100.0,105.0,0.002952968,0.40887415,0.40888482,normal
21,105.0,110.0,0.0005698946,0.08407684,0.08407877,normal
22,110.0,115.0,0.015394651,0.35123727,0.35157448,normal
23,115.0,120.0,0.53504455,0.46391374,0.7081586,fluctuating
24,120.0,125.0,0.9922536,0.0007996918,0.99225396,fluctuating
25,125.0,130.0,0.9429582,0.00011511863,0.9429582,fluctuating
26,130.0,135.0,0.002599422,0.008701112,0.009081098,normal
27,135.0,140.0,0.0018600718,0.006871362,0.0071186717,normal
28,140.0,145.0,0.0022420262,0.839927,0.83993,misalignment
29,145.0,150.0,0.004490605,0.0045291693,0.006378002,normal
30,150.0,155.0,0.22196133,0.06361737,0.23089826,normal
31,155.0,160.0,0.0039678686,0.015896669,0.016384384,normal
32,160.0,165.0,0.61141217,0.046543933,0.6131812,fluctuating
33,165.0,170.0,0.14773558,0.06432938,0.1611337,normal
34,170.0,175.0,0.0034404949,0.0001419734,0.003443423,normal
35,175.0,180.0,0.0050536236,0.00031615616,0.0050635035,normal
36,180.0,185.0,0.9623487,0.0005001554,0.9623488,fluctuating
37,185.0,190.0,0.0020766647,0.021716634,0.021815699,normal
38,190.0,195.0,6.8577945e-05,0.006761971,0.006762319,normal
39,195.0,200.0,0.9998367,5.4479184e-05,0.9998367,fluctuating
40,200.0,205.0,0.50950164,0.0005259757,0.5095019,fluctuating
41,205.0,210.0,0.00039473386,0.005123583,0.005138766,normal
42,210.0,215.0,0.001279528,0.0011819724,0.0017419101,normal
43,215.0,220.0,0.9604882,0.0013154378,0.9604891,fluctuating
44,220.0,225.0,0.03865574,0.16568923,0.17013873,normal
45,225.0,230.0,0.01044724,0.0016257215,0.0105729755,normal
46,230.0,235.0,0.012513847,0.0048844437,0.013433323,normal
47,235.0,240.0,0.18721408,0.0009717303,0.1872166,normal
48,240.0,245.0,0.06332822,0.15251186,0.1651373,normal
49,245.0,250.0,0.045618847,2.4338624e-05,0.045618854,normal
50,250.0,255.0,0.00023342835,0.004340222,0.0043464946,normal
51,255.0,260.0,0.009130964,0.028241089,0.029680526,normal
52,260.0,265.0,0.24851541,0.0013616604,0.24851915,normal
53,265.0,270.0,0.005813579,0.029218327,0.029791078,normal
54,270.0,275.0,0.015241033,0.00045910085,0.015247947,normal
55,275.0,280.0,0.59200454,0.0015693719,0.5920066,fluctuating
56,280.0,285.0,0.10578702,0.6140408,0.6230867,misalignment
57,285.0,290.0,0.95705706,0.0043066856,0.9570668,fluctuating
58,290.0,295.0,0.00013488122,0.0047761877,0.004778092,normal
59,295.0,300.0,0.15080777,0.04224159,0.15661205,normal
60,300.0,305.0,0.63351166,0.0014476555,0.63351333,fluctuating
61,305.0,310.0,0.002736134,7.594205e-05,0.0027371878,normal
62,310.0,315.0,0.008609164,0.0066397097,0.0108721405,normal
63,315.0,320.0,0.7255772,0.00025116067,0.72557724,fluctuating
64,320.0,325.0,7.159187e-05,0.00049063703,0.0004958327,normal
65,325.0,330.0,0.0013978333,0.6228552,0.62285674,misalignment
66,330.0,335.0,0.044591483,0.002569224,0.044665437,normal
67,335.0,340.0,0.003247576,0.0061244327,0.0069322023,normal
