window_id,start_time,end_time,s1_prob_normal,s1_prob_yellow,s1_prob_red,s2_prob_normal,s2_prob_yellow,s2_prob_red
0,0.0,10.0,7.739093e-13,2.7017362e-07,0.99999976,1.0,4.719284e-18,4.407434e-13
1,5.0,15.0,6.6038056e-12,1.1390898e-06,0.9999988,1.0,1.3535187e-15,2.346753e-12
2,10.0,20.0,1.0649478e-10,2.6955186e-05,0.99997306,1.0,1.1657383e-15,1.17082125e-11
3,15.0,25.0,1.816422e-08,0.0014710523,0.99852896,1.0,6.491585e-14,5.1165444e-10
4,20.0,30.0,9.904242e-06,0.015563711,0.9844263,0.9999999,2.6201087e-13,7.681363e-08
5,25.0,35.0,4.0266457e-07,0.0040895105,0.99591005,1.0,5.2018206e-17,1.136204e-08
6,30.0,40.0,3.1268006e-09,0.00018279573,0.9998172,1.0,3.4639605e-15,2.3413467e-09
7,35.0,45.0,3.7247643e-09,0.0006558969,0.99934405,1.0,5.4758255e-17,1.0147826e-09
8,40.0,50.0,4.3948703e-10,0.0021176673,0.9978823,1.0,1.9892493e-19,1.3618469e-11
9,45.0,55.0,5.1515703e-10,0.0026556915,0.9973443,1.0,5.6473386e-18,8.3701795e-12
10,50.0,60.0,4.808114e-08,0.0022610957,0.99773884,1.0,2.9659115e-16,1.8213849e-09
11,55.0,65.0,8.8992934e-08,0.0017075178,0.9982924,1.0,4.964921e-16,4.5564055e-09
12,60.0,70.0,1.3148325e-09,0.00020425377,0.99979573,1.0,9.559982e-18,9.087816e-10
13,65.0,75.0,1.337584e-09,0.00024139433,0.99975866,1.0,6.821163e-20,6.16379e-10
14,70.0,80.0,2.3537514e-10,3.868404e-05,0.99996126,1.0,1.292381e-20,8.160973e-11
15,75.0,85.0,4.4308443e-10,0.00015323708,0.9998467,1.0,4.3304677e-22,3.85525e-11
16,80.0,90.0,3.8739668e-11,4.1628646e-05,0.9999584,1.0,1.4171716e-23,9.804639e-12
17,85.0,95.0,1.1739888e-10,6.0672748e-05,0.9999393,1.0,2.125776e-19,1.7295475e-10
18,90.0,100.0,1.2324072e-11,0.00011048067,0.9998895,1.0,9.711775e-21,3.5426636e-12
19,95.0,105.0,4.041653e-11,4.244462e-06,0.9999957,1.0,2.2349198e-18,1.65151e-11
20,100.0,110.0,1.2508758e-09,5.4978455e-06,0.9999945,1.0,5.4080268e-17,1.1516619e-09
21,105.0,115.0,1.0862646e-10,4.0411996e-05,0.9999596,1.0,4.5107132e-21,1.0234963e-10
22,110.0,120.0,1.1415414e-10,4.273158e-05,0.9999573,1.0,6.5234117e-21,7.607299e-11
23,115.0,125.0,1.9079704e-10,4.6271376e-05,0.99995375,1.0,6.861094e-19,5.3276734e-11
24,120.0,130.0,2.1754079e-10,0.0002465065,0.99975353,1.0,7.9273403e-20,4.3350788e-11
25,125.0,135.0,2.00925e-10,0.00012073779,0.99987924,1.0,1.2373129e-19,4.6826376e-11
26,130.0,140.0,1.965185e-09,5.688469e-05,0.99994314,1.0,2.259935e-19,5.273537e-10
27,135.0,145.0,1.3625512e-09,5.4382792e-05,0.99994564,1.0,4.899925e-19,6.487588e-10
28,140.0,150.0,3.16153e-10,4.6314203e-06,0.99999535,1.0,1.8892724e-16,1.6451758e-10
29,145.0,155.0,9.006825e-10,4.6920954e-06,0.99999535,1.0,1.0224649e-16,4.1081785e-10
30,150.0,160.0,1.0520741e-08,0.00071919296,0.99928087,1.0,5.1121367e-17,2.2371904e-09
31,155.0,165.0,1.7366188e-09,0.00010694649,0.99989307,1.0,1.6252643e-18,1.3802055e-09
32,160.0,170.0,2.4712108e-09,0.00019069131,0.9998093,1.0,3.549919e-17,1.8659227e-09
33,165.0,175.0,1.5555201e-11,1.0283137e-05,0.99998975,1.0,1.3319834e-18,9.329777e-12
34,170.0,180.0,2.0341911e-10,0.00029038472,0.99970955,1.0,1.2401001e-20,1.08421735e-11
35,175.0,185.0,4.437597e-08,0.013521344,0.9864786,1.0,3.3562596e-22,3.270681e-10
36,180.0,190.0,2.5618458e-09,0.0023284492,0.99767154,1.0,4.523026e-24,6.73657e-11
37,185.0,195.0,7.841818e-11,6.2907484e-06,0.9999937,1.0,2.1437099e-17,1.3947067e-10
38,190.0,200.0,9.294677e-10,7.057329e-06,0.99999297,1.0,6.3367763e-16,3.0108536e-09
39,195.0,205.0,3.2190645e-10,9.59991e-06,0.99999034,1.0,1.9977859e-15,4.899527e-10
40,200.0,210.0,1.9268727e-10,1.088336e-05,0.99998915,1.0,8.645629e-17,1.584548e-10
41,205.0,215.0,1.1089068e-10,9.579481e-05,0.99990416,1.0,7.6531536e-23,4.3292453e-11
42,210.0,220.0,3.967302e-11,0.0001392214,0.99986076,1.0,4.970716e-25,1.36884965e-11
43,215.0,225.0,9.325366e-11,0.00016248072,0.9998375,1.0,7.36767e-21,1.9338368e-11
44,220.0,230.0,3.7151604e-09,0.000111654896,0.9998883,1.0,5.1257304e-16,9.173679e-09
45,225.0,235.0,6.4146816e-10,2.151558e-05,0.99997854,1.0,3.5139592e-17,1.1022212e-09
46,230.0,240.0,3.0956512e-10,1.2881513e-05,0.9999871,1.0,4.1231023e-17,3.223593e-10
47,235.0,245.0,1.2782478e-10,1.2924901e-05,0.9999871,1.0,1.2226705e-17,5.298147e-10
48,240.0,250.0,7.3451856e-11,4.2222968e-05,0.9999578,1.0,5.8707453e-22,2.5363624e-11
49,245.0,255.0,6.108828e-11,2.437521e-05,0.9999757,1.0,8.1586555e-22,1.7277431e-11
50,250.0,260.0,1.0913574e-07,0.00017490519,0.99982506,1.0,1.9184625e-14,4.8232014e-09
51,255.0,265.0,1.431078e-08,0.00017995351,0.99982005,1.0,2.5661057e-17,1.9438642e-09
52,260.0,270.0,4.866857e-10,1.6532305e-05,0.99998343,1.0,1.7747038e-18,2.6717084e-10
53,265.0,275.0,3.717505e-09,7.978493e-05,0.99992025,1.0,7.354712e-17,4.206245e-09
54,270.0,280.0,4.8299458e-09,0.00042015867,0.99957985,1.0,1.0660579e-17,3.140601e-09
55,275.0,285.0,3.7085008e-09,0.0011232606,0.99887675,1.0,2.9650632e-16,3.879136e-10
56,280.0,290.0,1.8120222e-09,0.0020502743,0.9979498,1.0,1.3071428e-18,3.7796322e-10
57,285.0,295.0,3.3202858e-09,0.0012014947,0.9987985,1.0,3.6561246e-19,6.453378e-10
58,290.0,300.0,6.062937e-08,0.0025772706,0.9974227,1.0,1.4712307e-18,1.8308239e-09
59,295.0,305.0,1.31626665e-08,0.0016385519,0.9983614,1.0,5.34273e-20,7.9922535e-10
60,300.0,310.0,2.949542e-08,0.0010937788,0.99890614,1.0,3.929625e-18,3.748576e-09
61,305.0,315.0,8.665745e-09,0.0004074719,0.9995925,1.0,4.2895358e-19,1.2805319e-09
62,310.0,320.0,8.269625e-09,0.0038539502,0.9961461,1.0,1.8528692e-19,3.7449294e-10
63,315.0,325.0,6.9968413e-09,0.0027045023,0.99729544,1.0,9.174462e-21,9.2503866e-10
64,320.0,330.0,6.2185496e-10,0.00015968306,0.99984026,1.0,1.6014202e-21,2.7407793e-10
65,325.0,335.0,6.768967e-11,0.0001100415,0.99988997,1.0,5.7835685e-21,1.8603735e-11
66,330.0,340.0,5.7329577e-09,0.0005384445,0.9994616,1.0,2.9799597e-18,7.9269874e-10
67,335.0,345.0,1.9564771e-08,0.0003858329,0.9996141,1.0,8.819479e-17,2.4957614e-09
68,340.0,350.0,4.433563e-09,0.00026705218,0.9997329,1.0,2.283685e-15,4.245393e-09
